x,y,token
2.7281368,-38.698364,really
-0.5540768,-50.356403,belong
-25.08242,-43.362087,afforded
22.425617,-6.1316648,equals
14.25509,4.2571416,All
-51.864704,18.535639,looked
-53.34156,23.625532,up
-23.912687,-51.78503,acquaintance
-10.359757,-37.816372,universally
-4.6991096,-46.816105,civil
35.725586,25.879787,among
-7.663904,-49.962135,accepted
-4.739979,-17.862793,even
-31.368876,-50.130295,melancholy
5.9902215,-47.711815,sigh
4.302951,-46.66578,wish
-11.320261,-47.584454,impossible
23.743877,-3.5990443,things
-33.023167,5.527779,till
16.239847,17.296658,awoke
-37.878674,-3.042466,made
-8.508888,-49.305443,necessary
-31.25635,-49.998753,cheerful
13.716859,-1.6761595,His
-24.950378,-49.92029,spirits
-26.002146,-46.053005,required
-24.462503,-38.293144,support
-31.386906,-48.875423,nervous
-0.75195867,-38.397717,easily
-35.72013,-24.786858,depressed
3.8760395,-37.848373,used
-10.39557,-29.702044,hating
-22.889715,6.7608924,part
-11.441404,-29.545687,kind
-19.006544,-37.518116,origin
-1.618838,-47.962513,reconciled
59.945553,16.457539,daughter
-21.04831,-54.316105,marrying
19.458883,12.773279,nor
-4.4866476,-39.936867,ever
-17.253351,-56.724155,compassion
-8.959059,-51.88085,entirely
-46.769302,-1.1432731,when
-10.375517,-56.78421,obliged
-16.732174,-43.599743,selfishness
-10.265952,-56.1001,able
9.452971,-43.13175,suppose
-1.9092,-52.156082,feel
-4.2774954,-47.08622,differently
-14.038748,-52.957962,disposed
5.8737345,-25.804983,done
-4.4100747,-34.121166,sad
4.272763,-32.186615,thing
-2.187595,-46.51123,deal
-10.329345,-51.239746,happier
-42.740154,-1.344753,if
-36.62643,-40.719364,spent
16.647757,-9.863418,rest
-43.03659,-18.732412,smiled
1.5559278,-47.27405,cheerfully
38.513046,-2.284218,keep
23.617825,-7.2006173,thoughts
-46.309944,-36.801773,tea
10.294606,-38.958008,say
-32.571743,-23.762539,exactly
-47.531876,-14.116131,said
-48.086422,-13.730818,""""
18.125221,-38.145283,Poor
3.6180956,-44.622227,!--
46.65391,-11.756215,What
3.1805487,-47.256905,pity
0.91747206,-31.420507,is
15.883995,-45.43605,"!"""
12.593879,-47.86671,cannot
5.694119,-47.09066,agree
10.019492,-35.45251,you
8.430011,-46.071144,papa
8.954355,-44.14206,know
5.5840263,-35.07454,good
-11.26355,-43.806183,humoured
-14.1020355,-52.891167,thoroughly
6.5033197,-43.047672,deserves
59.957516,16.388945,wife
-12.444544,-51.453915,;--
30.941654,-5.254957,live
22.178055,-35.519115,us
9.248424,-34.913197,my
-35.98605,-12.975667,odd
-8.81726,-25.050596,humours
12.725817,-49.606594,might
15.040694,-44.123325,"?"""
47.042553,-15.710071,But
-49.081707,8.111255,where
-21.538145,-54.218174,advantage
15.063996,-44.148758,?
10.159591,-21.962717,This
25.349974,53.09159,three
7.759059,20.707739,times
47.00022,-15.741983,And
18.552979,-38.650536,dear
11.069945,-41.389267,"."""
3.7757947,-37.847534,often
22.978012,-36.368896,we
12.432372,-47.55036,shall
12.250701,-32.654205,see
0.48280078,-28.00549,coming
23.239408,-36.498234,We
-37.12615,-38.30612,meeting
15.893284,-45.456104,!
7.5526447,-35.91756,begin
8.79022,-29.530655,go
0.96922034,-54.004795,pay
31.72398,-31.825119,My
15.31873,-40.808647,am
8.75609,-29.56762,get
-24.593996,2.3495798,far
-38.596985,-40.714718,Randalls
-20.759573,29.925133,distance
39.056168,-2.5401106,walk
17.002102,-37.8274,No
5.3014956,-39.329117,nobody
9.890559,-35.37054,your
-55.108444,10.130967,walking
-37.67488,-37.17709,carriage
8.98,-48.91244,sure
52.823853,21.53071,James
12.333144,-47.459656,will
-47.10027,8.102259,like
15.46907,20.536549,put
33.231434,44.867683,horses
-39.893436,-2.9409332,are
20.977777,-30.772696,poor
-33.003704,5.936885,while
-10.984334,-55.99176,paying
22.199404,-35.500008,our
23.299463,-36.53241,They
-52.9081,23.909424,into
-49.152153,3.861016,stable
10.20445,-35.683796,You
-31.20235,-37.44516,already
-33.964153,-29.43299,talked
15.205347,11.763957,night
12.521328,-47.79351,may
37.998573,10.290002,because
-5.9960394,-53.674725,doubt
33.605118,-31.627691,whether
22.625141,-31.68277,take
5.040193,-40.431324,anywhere
5.128933,-40.67787,else
35.58772,-20.788063,That
-50.384018,-1.24093,got
53.757664,19.142153,Hannah
4.6993556,-45.429756,Nobody
-33.154984,-42.65005,mentioned
8.927053,-49.01117,glad
3.4028978,-39.315094,lucky
-14.291371,-50.226227,slighted
-56.863075,6.7735696,upon
-19.494793,-56.4435,account
7.0818896,-27.52917,make
57.37376,14.075551,servant
-11.068108,-44.638714,pretty
42.309864,9.236441,spoken
-39.97127,-15.584391,girl
-20.262352,-53.77296,opinion
1.2444702,-29.76888,Whenever
6.329588,-43.262997,asks
9.204484,-34.69664,me
10.131188,-44.364323,do
-22.165262,-42.35345,manner
16.545086,46.058636,needlework
3.1578615,-52.41576,observe
-35.006996,17.5349,turns
-46.541965,28.95162,lock
-51.549583,13.552771,door
2.6057687,-22.643898,right
-6.7764935,-55.6996,comfort
5.733181,-38.55183,somebody
-47.75595,-5.693678,about
20.952255,-37.337017,goes
-7.3659477,-42.349678,hearing
8.800136,-44.329372,tell
-8.1346445,-55.006573,spared
-23.36497,-45.131752,exertions
26.811295,-6.1311827,maintain
-2.4033494,35.953358,flow
-23.65238,-50.295395,ideas
-11.7821,-54.595673,hoped
2.2810652,-44.444077,help
-13.692061,-54.013733,tolerably
-20.008434,-25.403437,attacked
-24.882929,-48.90794,regrets
-49.268257,15.124059,table
-27.633839,-24.474344,placed
-31.093075,-45.544186,visitor
-40.14129,-23.506079,immediately
-42.4404,-25.911558,afterwards
-55.38698,10.1254835,walked
-28.421822,-53.535988,unnecessary
-40.083702,-49.811676,Knightley
-14.071689,-47.65661,sensible
26.23764,51.545567,eight
26.300676,51.705864,thirty
-22.94792,-46.80969,intimate
-14.148175,-41.96771,connected
49.981915,23.684225,elder
59.939766,16.429804,brother
-23.465427,-47.32597,frequent
29.78863,-26.675808,welcome
-37.388927,-36.638805,directly
-23.98461,-42.437027,mutual
-24.481987,-41.509323,connexions
-3.5607376,-26.18197,returned
-29.180086,-3.2473004,late
9.086189,19.743736,days
-25.849775,-44.69654,absence
-32.244476,-37.000645,Brunswick
-41.729286,-37.851562,Square
-22.113392,-49.57008,circumstance
-24.784214,-34.31773,animated
-30.39835,-45.620346,inquiries
52.671715,15.013994,answered
45.454224,-16.673393,When
-9.550021,-41.666195,gratefully
-39.48849,-18.85952,observed
9.303358,-28.59996,come
-52.959194,23.87935,out
36.577347,-14.629551,call
8.874794,-50.93012,afraid
-0.148424,-44.289444,shocking
33.320522,-28.632568,Not
15.994951,-39.132088,sir
